kyoku,rot,step,dora,tehai
1,1,5,2m,23677m34p123579s6s
1,2,3,9m,5067m5p24056668s0p
1,1,5,8p,24m1167p1236788s9s
1,3,4,8m,3345689m5667p24s3m
1,1,5,3m,123m240679p2345s7s
1,3,7,3z,6789m11124p4077s7s
1,1,9,7m,33477m577p11678s6p
1,3,7,2m,2344m5678p34567s3s
1,3,5,5m,2330m34566p5678s7p
1,1,5,5p,2255m45p2356678s9s
1,3,4,9s,3567m334478p244s9p
1,1,8,8p,34789m7889p3456s4m
1,1,6,7p,24567788p12378s4p
1,3,5,1m,2334m11577p4578s9s
1,1,4,1m,3089m2477888s11z9p
1,3,7,4m,3466667m345p777s5m
1,4,6,1m,1133m12347p4567s9p
1,1,6,2p,122346m12388p34s4m
1,1,7,9m,233444778p3445s3p
1,3,4,4z,111566m455p2237s8s
1,1,4,2s,1135668m4478p40s4m
1,1,8,3z,055m2344568p455s3p
1,3,4,7p,34568m33889p335s7m
1,1,3,9p,1268m2378p44577s5s
1,1,7,2s,2344568m345578p2m
1,3,6,7p,68m456789p330s11z3p
1,3,7,3m,3067m5567p66778s9s
1,2,1,9m,3478m14p23468s14z5m
1,2,5,5s,1134056777m4p44s0s
1,1,5,8m,678m45667p22446s6s
1,3,6,4z,345m34445p33557s7s
1,3,4,8s,24m56667p224466s4p
1,1,5,5p,4078m335577888p9m
1,3,4,9s,06m2257p4556779s9s
1,3,6,3m,45m3456688p6677s7s
1,1,6,5p,234567m0p234778s4m
1,1,7,5s,3467m2245677p11s5m
1,1,4,1p,234m40799p44579s6p
1,3,7,9s,2233077m678p244s4m
1,3,7,1m,13556m11233345p4m
1,3,4,1z,24688m0579p56s11z1z
1,2,7,4z,244m456667p4078s8s
1,1,9,4m,57888m34467p899s9m
1,1,9,5m,34466m77789p355s6p
1,1,5,4p,3356678m67p2234s0s
1,1,3,6p,406899m67p24457s7m
1,1,5,3m,78m355779p55678s9s
1,3,6,1z,223468p3566s|4p|_046m
1,1,7,7m,5667m2334456p78s8s
1,2,3,2m,1222357m223p56s2z2z
1,3,4,1z,5m226667p345s111z6s
1,1,4,3z,3468m4477p23356s7s
1,3,4,3m,2367m24499p4578s9s
1,1,6,4s,1178m0p123456s11z6p
1,3,7,5m,12456m45699p677s3p
1,3,7,5s,445567889m45p45s0s
1,3,6,3p,0m45566p55788s77z6m
1,1,5,7p,35m345567p24678s8p
1,1,6,3z,2245668m06p5578s9s
1,3,5,8m,1234m2344p12345s3m
1,1,7,6s,23467m113779p45s6s
1,1,5,5p,122m46789p23306s7s
1,1,7,3m,33567m4578p2235s6s
1,3,6,3z,2267899m567p355s6s
1,3,4,7m,3377m23788p2468s4p
1,1,4,5m,0m45p12340556s11z7m
1,1,5,1s,3356678m3456p23s0p
1,1,7,7z,11999m45677p246s7s
1,3,6,1p,223m13345667p78s9s
1,2,4,6z,35m1368p579s3366z6z
1,4,9,6z,12367m688p779s66z8m
1,1,3,8m,1378m06779p24s11z1z
1,2,5,5m,4579m4567p34599s4s
1,1,6,6s,2278m2478999p06s3p
1,1,7,2s,3488m45688p4588s9s
1,3,4,7m,67m668p22334577s8s
1,1,7,3p,56m22334556p456s7s
1,3,5,9p,56667m223p66677s8s
1,3,6,1p,112334556p5678s9s
1,3,8,7p,557m567788p5667s6m
